iso3_d,trade_actual,trade_predicted,n_years,gdp_d_last,potential_ratio,gap_usd,gap_pct,classification
COG,15992096.350222223,35485229.547601916,18,8701334800.219759,2.2189229460907307,19493133.197379693,121.89229460907308,Sous-exploité
NER,5411576.265388888,24483179.44178785,18,8119710126.32655,4.5242233022522935,19071603.176398963,352.42233022522936,Sous-exploité
JOR,61187832.25083334,79997705.04414625,18,40708943661.9718,1.307411982111145,18809872.793312915,30.74119821111449,Sous-exploité
RWA,5823794.450944444,24285478.60180694,18,9140429057.8874,4.170043913185941,18461684.150862493,317.00439131859406,Sous-exploité
MRT,0.0,17746603.35591852,18,4905893854.7486,17746603.35591852,17746603.35591852,1774660335.591852,Sous-exploité
GIN,10070908.749499999,27443891.73775607,18,10324668266.5921,2.7250660710354073,17372982.98825607,172.50660710354074,Sous-exploité
LBN,79263188.71977778,95853363.44508906,18,53393799668.325,1.2093049118167976,16590174.72531128,20.930491181679766,Équilibre
PAN,73637529.31827778,90112324.96794976,18,62283800000.0,1.2237282510995753,16474795.649671987,22.372825109957528,Équilibre
MNG,17389737.546888888,33832157.81564982,18,11425755279.5395,1.9455243487388092,16442420.268760934,94.55243487388093,Sous-exploité
CUW,0.0,15429298.299850374,7,3116610111.73184,15429298.299850374,15429298.299850374,1542929829.9850373,Sous-exploité
SWZ,2769045.564777778,17996470.913090624,18,4446248678.17126,6.49916026735186,15227425.348312845,549.9160267351859,Sous-exploité
DOM,133172411.13405555,147955451.9071257,18,79998045976.4898,1.1110067817138873,14783040.773070157,11.100678171388727,Équilibre
LVA,72832098.41594444,87064012.86139417,18,30198231776.3706,1.1954071728672597,14231914.445449725,19.540717286725968,Équilibre
NIC,19719580.380944446,33616529.14319252,18,13785943183.0661,1.7047284218926417,13896948.762248076,70.47284218926416,Sous-exploité
FJI,4465189.362,17470709.387996826,18,5353404418.66414,3.9126469163161164,13005520.025996827,291.26469163161164,Sous-exploité
LSO,249976.20383333333,11690911.91508096,18,2565352373.26551,46.768099266263135,11440935.711247627,4576.809926626313,Sous-exploité
CRI,95588942.75738889,107006762.10643701,18,58174549218.3352,1.1194470722207621,11417819.349048123,11.944707222076207,Équilibre
BFA,22147222.163222224,33556514.216790535,18,12330338343.2865,1.515156797971469,11409292.053568311,51.515679797146895,Sous-exploité
ECU,177224345.1847778,188089918.75247177,18,104295862000.0,1.0613097120283632,10865573.567693979,6.130971202836329,Équilibre
CAF,235640.09733333334,10672289.44055653,18,2067230996.47377,45.29063415493184,10436649.343223197,4429.063415493184,Sous-exploité
BTN,205962.04266666668,10527801.842024453,18,2450364928.75022,51.115252624790045,10321839.799357787,5011.525262479005,Sous-exploité
BDI,1181415.4758888888,11448021.226148134,18,3172292379.36329,9.690089100563645,10266605.750259245,869.0089100563645,Sous-exploité
