iso3_d,trade_actual,trade_predicted,n_years,gdp_d_last,potential_ratio,gap_usd,gap_pct,classification,priority_score
BHR,35714022.62633333,70125189.97239968,18,35432686170.2128,1.963519783422371,34411167.34606635,96.35197834223709,Sous-exploité,0.6923076923076923
NAM,6137181.697555555,36562058.56309901,18,13566192144.4614,5.957467183619757,30424876.865543455,495.7467183619757,Sous-exploité,0.6901098901098901
LAO,4021352.2245555553,30698444.792736914,18,16853087485.4118,7.63386121844369,26677092.56818136,663.386121844369,Sous-exploité,0.6857142857142857
ZMB,22490374.80238889,56963570.693164155,18,25868142076.7897,2.53279774986736,34473195.89077526,153.279774986736,Sous-exploité,0.6802197802197802
TUN,68813611.59816666,105669603.56089245,18,39813383483.5083,1.5355915945517342,36855991.96272579,53.55915945517341,Sous-exploité,0.6648351648351648
MUS,4296429.509777778,36913458.61008575,18,13259351418.4459,8.591659312943086,32617029.10030797,759.1659312943087,Sous-exploité,0.6637362637362637
GTM,100570867.5105,132464994.58840694,18,75620081928.17,1.3171308736556047,31894127.077906936,31.713087365560472,Sous-exploité,0.654945054945055
GEO,12853635.904555555,50350871.1548281,18,16242956764.2957,3.9172473476538157,37497235.25027254,291.7247347653815,Sous-exploité,0.6373626373626373
GNQ,4854206.128777778,42626728.91986492,18,12200914929.5961,8.781400663469094,37772522.79108714,778.1400663469094,Sous-exploité,0.6296703296703298
KHM,8591182.227722222,43577347.20894934,18,22180376505.7284,5.07233417402473,34986164.98122712,407.2334174024731,Sous-exploité,0.6296703296703297
PSE,0.0,33417356.031361096,18,14498100000.0,33417356.031361096,33417356.031361096,3341735603.1361094,Sous-exploité,0.6285714285714286
BRN,5318578.7675,44340114.627594545,18,12128104859.1498,8.336835189607736,39021535.86009455,733.6835189607738,Sous-exploité,0.6285714285714286
MKD,0.0,40871079.89271795,18,11279509013.9119,40871079.89271795,40871079.89271795,4087107989.271795,Sous-exploité,0.6032967032967033
CYP,17059390.078277778,65447896.12255894,18,22638608224.1301,3.836473392205016,48388506.044281155,283.6473392205015,Sous-exploité,0.5857142857142856
OMN,84530900.28977779,128461967.13939613,18,70597919375.8127,1.5197042347711855,43931066.849618345,51.970423477118544,Sous-exploité,0.5692307692307692
EST,22094188.804333333,73476643.0487269,18,26792757827.3154,3.3256094486852548,51382454.24439357,232.56094486852547,Sous-exploité,0.5604395604395604
ZWE,5274002.094666666,45466623.43880448,18,22813010116.1292,8.62089597665928,40192621.34413781,762.089597665928,Sous-exploité,0.5560439560439561
CMR,25132816.49572222,77743593.3945077,18,34922782310.6416,3.093310031835875,52610776.89878549,209.3310031835875,Sous-exploité,0.5560439560439561
EGY,324814307.97866666,362906914.2642357,18,235369129337.71103,1.117275025606541,38092606.28556901,11.727502560654095,Équilibre,0.554945054945055
NPL,6383835.118277778,52024462.70788343,18,25180583769.9244,8.149405763775196,45640627.58960565,714.9405763775196,Sous-exploité,0.5362637362637362
UGA,10651597.304722223,59055275.612643786,18,25995031850.1545,5.5442647636014675,48403678.30792156,454.42647636014675,Sous-exploité,0.5318681318681319
TZA,41813081.99538889,95479599.64544603,18,53320625958.5628,2.2834862939779335,53666517.650057144,128.34862939779336,Sous-exploité,0.5318681318681319
SYR,29334715.0,84087773.84197241,8,40405006007.2086,2.8664936353386223,54753058.84197241,186.6493635338622,Sous-exploité,0.5164835164835164
COL,490048245.8204444,543941447.0163099,18,311789874617.096,1.1099752966274512,53893201.19586545,10.99752966274511,Équilibre,0.49230769230769234
CIV,19734217.191166665,76166430.55190808,18,38053606750.5179,3.8596124596217236,56432213.36074141,285.96124596217237,Sous-exploité,0.49010989010989015
BIH,2928728.1909444444,61933865.119778365,18,18080118128.3854,21.147017094749984,59005136.92883392,2014.7017094749983,Sous-exploité,0.489010989010989
BOL,19777978.185277775,78817806.913205,18,37508642257.5977,3.9851296312923923,59039828.72792722,298.5129631292392,Sous-exploité,0.48021978021978023
ETH,44212801.48216667,98213001.18023136,18,81760441158.7556,2.2213702341355996,54000199.69806469,122.13702341355996,Sous-exploité,0.4791208791208791
BGR,72802049.2795,140387285.75325572,18,58220973782.7715,1.9283425005563237,67585236.47375573,92.83425005563237,Sous-exploité,0.4736263736263736
URY,54278343.28761111,120437148.01229398,18,56488991831.0239,2.2188803253282683,66158804.72468287,121.88803253282686,Sous-exploité,0.4703296703296703
KEN,51417878.54477778,111464185.64661206,18,78757391333.0219,2.1678098902805245,60046307.10183428,116.78098902805247,Sous-exploité,0.46703296703296704
COD,14277095.021055557,75488184.21960896,18,38019265625.8845,5.287363018056586,61211089.198553406,428.73630180565857,Sous-exploité,0.4472527472527473
YEM,22475403.248555556,100873035.35170762,18,26818703092.5852,4.488152414270498,78397632.10315207,348.81524142704984,Sous-exploité,0.43956043956043955
TKM,12235339.949,81435109.66240406,18,37926285714.2857,6.655729223858614,69199769.71340406,565.5729223858614,Sous-exploité,0.41978021978021973
LTU,37733704.18855556,118298882.57226393,18,47632961168.4141,3.1350985840436882,80565178.38370836,213.50985840436877,Sous-exploité,0.4131868131868132
MAC,15335971.552444445,77918666.86664926,18,50751059058.0613,5.080777999632477,62582695.31420481,408.0777999632477,Sous-exploité,0.41318681318681316
PAK,282890564.35877776,352380569.02386737,18,304567253219.097,1.2456427093020976,69490004.6650896,24.56427093020977,Équilibre,0.4120879120879121
SVN,41143829.277166665,135947041.19624698,18,48441722815.6069,3.304190290126755,94803211.91908032,230.41902901267548,Sous-exploité,0.39450549450549455
SDN,62790930.166666664,141134077.25849715,18,123053386001.137,2.247682537651272,78343147.09183049,124.76825376512724,Sous-exploité,0.3912087912087912
BRA,1651485357.3839998,1736387983.8470259,18,2062831045935.95,1.0514098572436115,84902626.46302605,5.140985724361144,Équilibre,0.37252747252747254
PRY,9247709.738055555,89437384.10384363,18,39008900331.6733,9.671300963934552,80189674.36578807,867.1300963934552,Sous-exploité,0.37032967032967035
ZAF,390284255.92083335,506546353.94763917,18,349554116683.818,1.2978908225557242,116262098.02680582,29.789082255572417,Sous-exploité,0.3538461538461538
SAU,772675177.3003888,885020977.9950395,18,688586133333.333,1.1453984856704857,112345800.69465065,14.53984856704858,Équilibre,0.3505494505494506
AZE,17105225.247277778,125249479.89364399,18,40865558912.3867,7.3222935145842,108144254.64636621,632.22935145842,Sous-exploité,0.3505494505494505
QAT,95723843.5298889,212147848.21790144,18,166928571428.57098,2.216248746339361,116424004.68801254,121.62487463393612,Sous-exploité,0.3384615384615385
ISR,338286021.5957222,456713057.6553545,18,353253406954.97,1.3500796027604172,118427036.0596323,35.00796027604171,Sous-exploité,0.332967032967033
KWT,92357061.361,221698464.74890408,18,120707550280.251,2.4004495323031314,129341403.38790408,140.04495323031315,Sous-exploité,0.3175824175824176
HRV,30911198.255111113,158434281.46138754,18,55319620157.6135,5.125465540152288,127523083.20627643,412.5465540152288,Sous-exploité,0.30439560439560437
IRQ,192046588.4212857,369240722.48158354,14,195473049875.108,1.9226622327265375,177194134.06029785,92.26622327265375,Sous-exploité,0.2956043956043956
IND,1547069919.5633333,1711504775.4677274,18,2652242857923.91,1.1062879277950195,164434855.90439415,10.628792779501946,Équilibre,0.28791208791208794
SRB,13748594.33175,147179237.68203834,12,44120424391.86,10.705038939301115,133430643.35028833,970.5038939301115,Sous-exploité,0.2802197802197802
UKR,106747779.5971111,297065146.9799035,18,112190355158.178,2.782869565072836,190317367.3827924,178.28695650728358,Sous-exploité,0.25824175824175827
HUN,116752584.57833333,304013558.645302,18,141510583019.556,2.6039128790449073,187260974.06696868,160.39128790449075,Sous-exploité,0.2549450549450549
AGO,62199256.89116666,219777647.6574077,18,122123822333.591,3.5334449098317093,157578390.76624104,253.34449098317094,Sous-exploité,0.25274725274725274
MMR,3631552.2671666667,130970245.09635288,18,66719084253.4803,36.06453534497405,127338692.8291862,3506.453534497404,Sous-exploité,0.25054945054945055
BLR,4975081.6931111105,145674643.65379032,18,54726595249.1849,29.280854594911055,140699561.9606792,2828.085459491105,Sous-exploité,0.24835164835164833
UZB,5926362.066611111,136775376.8528677,18,59159945320.5667,23.079146247822884,130849014.78625658,2207.9146247822882,Sous-exploité,0.24505494505494507
KAZ,99951872.67388889,302895963.5129104,18,166805800595.704,3.0304180943278913,202944090.83902153,203.04180943278914,Sous-exploité,0.2296703296703297
SVK,37579965.8425,218111708.86381346,18,95241436351.7628,5.803935793287661,180531743.02131346,480.3935793287661,Sous-exploité,0.2142857142857143
TUR,666076084.2986112,1114983888.6667032,18,852676778300.885,1.67395874878288,448907804.36809206,67.395874878288,Sous-exploité,0.2
CZE,125395000.16816667,395993693.76380026,18,215913545038.43,3.1579703595257778,270598693.5956336,215.79703595257783,Sous-exploité,0.1912087912087912
NGA,204962534.99116668,519428307.1833977,18,375745486520.715,2.5342597719421436,314465772.19223106,153.42597719421437,Sous-exploité,0.18131868131868134
GRC,107948776.29577777,421199286.79005504,18,203085551429.132,3.901844015683664,313250510.49427724,290.18440156836635,Sous-exploité,0.17472527472527474
ROU,87387099.2073889,353822637.1048624,18,211695422578.655,4.048911570633133,266435537.8974735,304.89115706331336,Sous-exploité,0.17362637362637362
ARG,202545919.49966666,596899829.7337594,18,642695864756.35,2.9469852130728396,394353910.2340927,194.69852130728395,Sous-exploité,0.15494505494505495
RUS,773853246.3641112,1804155658.941177,18,1578624060588.26,2.33139250551427,1030302412.5770657,133.139250551427,Sous-exploité,0.14505494505494507
IRN,193400485.53177777,711813075.1431265,18,454012768723.589,3.6805133823005214,518412589.61134875,268.0513382300522,Sous-exploité,0.12637362637362637
POL,225114932.0462222,773669353.569099,18,526216495118.144,3.436774924420578,548554421.5228767,243.6774924420578,Sous-exploité,0.12197802197802197
EUN,0.0,9888221069.292088,19,18768076076357.28,9888221069.292088,9888221069.292088,988822106929.2087,Sous-exploité,0.01098901098901099
